Crosstable of the context with ID: 1
The Crosstable of the current context: X:Object has Attribute; -:Object does not have Attribute
                                   http://www.w3.org/2006/vcard/ https://schema.org/ http://d-nb.info/standards/elementset/ http://dbpedia.org/ontology/ http://xmlns.com/foaf/0.1/ http://www.loc.gov/mads/rdf/ https://d-nb.info/standards/elementset/ http://purl.org/vocab/relationship/ http://vocab.getty.edu/ http://www.ontotext.com/proton/ http://www.w3.org/1999/02/ http://www.w3.org/ns/ http://data.bnf.fr/vocabulary/roles/ http://id.loc.gov/vocabulary/relators/ http://gov.genealogy.net/ http://purl.org/ontology/po/ http://purl.org/ontology/mo/ 
http://www.wikidata.org/entity/P84 -                             -                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P85 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P86 -                             -                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            X                            
http://www.wikidata.org/entity/P87 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P88 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P89 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P90 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P91 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P92 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P93 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P94 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P95 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P96 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P97 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P98 -                             X                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P99 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
